survey_date,province,lat,lon,rice_ecosystem,rice_stage,rice_variety,rat_damage_%,GA_snail_ea,dead_heart_%,rice_gall_midge_%,white_head_%,rice_bug_%,rice_thrip_%,whorl_maggot_%,rice_hispa_%,leaf_folder,bph_pertiller,wbph_pertiller,zigzag_pertiller,green_leafhopper_pertiller,white_whitefily_pertiller,black_bug_pertiller,bacterial_blight_%,bacterial_leaf_streak_%,brown_spot_%,leaf_blast_%,red_stripe_%,narrow_brown_spot_%,bakanae_%,dirty_panicle_%,false_smut_%,neck_blast_%,sheath_blight_%,sheath_rot_%,hopper_burn_%,gressy_stun_virus_%,ragged_stun_virus_%,orange_leaf_%,weed_infestration_%,dominant_weed_type,dominant_weed_species
2023-02-24,แพร่,18.025556000000002,100.08666700000001,นาชลประทาน,แตกกอ,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0.41399999999999998,0,0,0,0,0,0,0,0,39.723999999999997,0.41399999999999998,0,0,0,0,0,0,0,0,0,0,0,0,5,หญ้า,หญ้าข้าวนก
2023-03-02,พะเยา,19.442972000000001,99.783254999999997,นาชลประทาน,ระยะกล้า,กข79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.832000000000001,0,0,0,1.8180000000000001,0,0,0,0,0,0,0,0,0,5,หญ้า,หญ้าข้าวนก
2023-03-02,พะเยา,19.435213999999998,99.768325000000004,นาชลประทาน,แตกกอ,กข10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.643000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333300000000001,หญ้า,หญ้าข้าวนก
2023-03-02,พะเยา,19.424762000000001,99.787150999999994,นาชลประทาน,ระยะกล้า,กข79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.608000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333300000000001,หญ้า,หญ้าไซ
2023-03-02,พะเยา,19.237318999999999,100.00118000000001,นาชลประทาน,ระยะกล้า,พิษณุโลก 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.225999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3333332999999996,กก,หนวดปลาดุก
2023-03-02,พะเยา,19.238962000000001,100.001204,นาชลประทาน,ระยะกล้า,กข79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.507999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,10,กก,หนวดปลาดุก
2023-03-02,พะเยา,19.217141999999999,99.963853,นาชลประทาน,ระยะกล้า,กข79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,กก,หนวดปลาดุก
2023-02-14,อุทัยธานี,15.375325,99.934610000000006,นาชลประทาน,ตั้งท้อง,กข49,0,0,0,5.1280000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.655999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-14,อุทัยธานี,15.376206,99.934140999999997,นาชลประทาน,ตั้งท้อง,กข49,0,0,0,21.591000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.198999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-15,สุพรรณบุรี,14.479433,100.08844499999999,นาชลประทาน,ระยะกล้า,กข41,0,0,0,0,0,0,27.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
